city,pm25,pm10,no2,so2,co,o3,aqi,Date,aqi_outlier,AQI_Category,temperature_2m_max,temperature_2m_min,windspeed_10m_max,precipitation_sum
Kolkata,61.67978191782398,121.03983666152315,61.25826999407113,14.049848066623646,0.7642800750539973,69.65728606787549,80,2020-01-22,False,Satisfactory,24.0,9.6,8.7,0.0
Kolkata,63.72343312082522,106.07957001240776,30.037545101090767,4.156553400145736,0.5419849134101623,50.82517990800911,71,2020-01-23,False,Satisfactory,23.2,13.9,13.4,0.1
Kolkata,89.16805872510609,119.81472445775938,32.34604516045601,2.5372062803361395,1.4561352505837393,72.00104348694703,90,2020-01-24,False,Satisfactory,22.4,10.4,13.5,0.0
Kolkata,51.36876100078718,104.11937063738613,26.80528959378796,17.12204776034172,0.992920017004863,30.286375753446645,62,2020-01-25,False,Satisfactory,22.5,9.4,10.1,0.0
Kolkata,41.035049550419885,89.64290323404867,60.76463005014844,10.104503215316612,1.1922626388081867,54.66324491578496,58,2020-01-26,False,Satisfactory,22.7,9.6,10.6,0.0
Kolkata,46.69602798497925,88.33383147073887,49.48568813838244,16.204934721181516,1.0795189979447075,53.21167353325927,60,2020-01-27,False,Satisfactory,23.9,10.4,11.0,0.0
Kolkata,97.8312247790507,192.9627525970575,76.1058336930752,12.236865593885623,0.2695869223756173,51.93980313953463,119,2020-01-28,False,Moderate,24.6,11.9,10.5,0.0
Kolkata,84.63742152961935,109.38845148907872,41.86904678114675,6.775882107881369,0.9130308984947916,58.92454299794304,85,2020-01-29,False,Satisfactory,25.4,16.9,9.5,9.7
Kolkata,101.07706293695269,170.86130909655532,47.0402716855189,15.94316684075588,1.1875793139209174,43.37107273394803,110,2020-01-30,False,Moderate,23.3,15.8,12.0,1.3
Kolkata,74.24404059301439,117.13762850200013,28.820722512606164,10.508483810160005,1.0504844544208378,60.907273474223295,81,2020-01-31,False,Satisfactory,23.1,13.0,10.8,0.0
Kolkata,12.229918078227342,96.53911892738992,52.70605123600978,13.138113962412689,0.3856421019934808,32.22003782067905,43,2020-02-01,False,Good,23.0,10.6,10.5,0.0
Kolkata,140.12068416711787,210.21052477222932,56.92970485539521,11.336881915777743,1.191982616628484,29.45588681845885,141,2020-02-02,False,Moderate,23.1,10.9,13.1,0.0
Kolkata,30.66416762934088,100.83750940150212,26.23577914251519,11.80059859853042,0.2675146599798756,10.0,49,2020-02-03,False,Good,23.0,9.1,10.7,0.0
Kolkata,39.13648863789611,81.5599899571607,26.12717231946533,15.102323471473005,1.1032690422275575,59.15131882427616,52,2020-02-04,False,Satisfactory,23.7,9.8,8.8,0.0
Kolkata,33.738215674725026,94.2331185776557,21.576527149919468,21.31642406320561,0.8146415228202752,37.16195821045566,51,2020-02-05,False,Satisfactory,24.9,14.9,8.4,0.0
Kolkata,82.11553759556728,135.479732631738,50.61282996058824,2.5598229457146484,0.5911514789325889,57.22375046605621,92,2020-02-06,False,Satisfactory,24.5,11.7,10.4,0.0
Kolkata,111.15178255291306,226.5616297013808,60.6752864452193,8.556658863842145,1.3322760116932115,58.69893295861273,135,2020-02-07,False,Moderate,21.5,12.3,8.6,0.4
Kolkata,134.6597434285124,193.99487268718508,61.55616697851084,17.414309877840395,0.965688247988254,43.42499947627769,136,2020-02-08,False,Moderate,20.9,13.6,8.2,0.2
Kolkata,62.33821023448432,93.33902277950467,38.88419427105579,17.536122581191805,0.9743100811120676,38.37362226253989,66,2020-02-09,False,Satisfactory,24.9,14.1,11.4,0.0
Kolkata,118.7248030392531,145.20400210615398,44.98645242103561,18.974189910821607,0.4471741120451596,52.55774377245765,112,2020-02-10,False,Moderate,24.0,10.3,10.0,0.0
Kolkata,52.05485630414773,134.62231152305898,73.7445395755706,14.776473417076474,1.0634645284786666,70.49521508346153,80,2020-02-11,False,Satisfactory,25.2,10.5,9.8,0.0
Kolkata,110.59694968356784,144.12942768625368,33.32757355521575,9.74014438309795,0.2801302302089122,64.66799834524198,108,2020-02-12,False,Moderate,25.6,10.6,11.0,0.0
Kolkata,29.93070299918421,96.50281611999029,29.096936309256517,10.88853741110794,0.9674310590879236,72.91321123408777,54,2020-02-13,False,Satisfactory,26.0,11.1,11.1,0.0
Kolkata,114.77848156603116,162.42057628667234,39.48701035242794,6.1146745875242505,0.9910186343956794,48.7692424723542,114,2020-02-14,False,Moderate,28.5,12.1,13.6,0.0
Kolkata,42.783748211118095,108.34840098250692,61.28883263490172,11.1082997288059,0.6312564240517092,41.32696506603825,64,2020-02-15,False,Satisfactory,27.7,14.4,12.6,0.0
Kolkata,96.06589214570045,122.21823576251956,41.13286132295982,9.96992612800619,0.9516373823776972,58.72772701826722,94,2020-02-16,False,Satisfactory,27.5,12.7,11.0,0.0
Kolkata,35.0920159590618,98.44647744563072,46.86654983665779,11.04704480725258,0.6708494264062166,43.62877212282982,56,2020-02-17,False,Satisfactory,27.7,13.2,10.7,0.0
Kolkata,73.15369052818738,104.52738728045442,29.734784382873983,13.021690643547531,0.6285319397770305,63.17259679489486,77,2020-02-18,False,Satisfactory,27.9,13.4,10.8,0.0
Kolkata,74.74843820688865,115.25066444574053,44.97269690446748,9.970352906573105,0.5660857753909925,44.93086134989228,80,2020-02-19,False,Satisfactory,29.1,13.2,11.4,0.0
Kolkata,5.0,15.583794626375706,26.195246878582264,6.031615594493917,0.9950289943079218,68.8976585585718,16,2020-02-20,False,Good,29.5,15.2,12.2,0.0
Kolkata,92.99179527214784,105.05772198948944,18.853442696835863,13.750818917668736,0.7484941967621651,22.1512368740479,82,2020-02-21,False,Satisfactory,29.7,15.9,9.1,0.0
Kolkata,45.70698699291711,74.21087125977718,61.855312124281,15.526385281635742,0.7137535940233889,53.43111964489526,56,2020-02-22,False,Satisfactory,29.4,16.9,11.2,0.0
Kolkata,85.83177060937035,137.41543658050648,67.39961445556801,19.04390114749344,1.2574704559330088,54.961820134965805,96,2020-02-23,False,Satisfactory,28.5,17.6,9.2,0.0
Kolkata,66.48747994171762,91.67420920202584,25.070374957817396,17.07050822560504,0.4177213171777511,47.30744623255719,67,2020-02-24,False,Satisfactory,27.1,17.9,13.5,0.3
Kolkata,24.592033750103106,72.64545964757755,24.079438680308044,15.319943847265348,0.7268174324873503,37.86558933428287,40,2020-02-25,False,Good,25.9,16.2,18.4,2.7
Kolkata,41.74678565754659,94.42281778807074,40.76068183830576,9.238747019311075,0.7045494492016041,42.60732130506875,57,2020-02-26,False,Satisfactory,25.4,14.6,10.3,7.4
Kolkata,5.0,54.220759966178335,16.6628809569833,7.563018363026845,0.8962551429501031,46.405985213704994,25,2020-02-27,False,Good,25.2,15.2,11.8,0.7
Kolkata,141.1210269549896,175.17531230175075,33.832158454538856,12.811270805973775,0.7888528739966343,65.71480578808601,133,2020-02-28,False,Moderate,26.5,14.9,9.8,0.0
Kolkata,105.60459569739577,183.3684596822301,15.76397422131286,15.931336339590269,0.5055939934373808,56.66903829762093,115,2020-02-29,False,Moderate,28.5,15.6,9.7,0.0
Kolkata,70.24756036312415,106.4735020871185,57.60966169953633,3.6128659986949625,1.343868303110478,59.4674701885569,78,2020-03-01,False,Satisfactory,29.8,16.3,8.9,0.0
Kolkata,86.76387082169649,133.79203141595937,34.440958976682666,14.342485259461943,0.381874443780502,10.0,87,2020-03-02,False,Satisfactory,29.5,17.3,14.7,2.0
Kolkata,83.42811061893694,118.51017140170929,26.259551895689576,4.12194599278115,1.1612679945632784,77.30920137862546,87,2020-03-03,False,Satisfactory,30.1,17.1,8.4,0.3
Kolkata,77.93093826061708,124.81783206823752,46.34716459685354,13.816951044329254,0.6439358619820744,68.19448157868108,87,2020-03-04,False,Satisfactory,29.5,18.5,10.5,0.2
Kolkata,125.2942669588199,190.15244179143528,66.67178367028897,15.871430587973022,0.6031389422904407,51.18600894631368,131,2020-03-05,False,Moderate,29.7,17.8,7.9,0.0
Kolkata,117.59736890840074,146.566483021671,35.90821596224136,4.084113814548701,1.4034614468348403,56.10850049861787,111,2020-03-06,False,Moderate,29.7,20.4,11.6,0.6
Kolkata,103.8537598513648,123.68357259833576,56.6801181532044,13.555243931360472,0.2604814185891759,56.85151944635468,100,2020-03-07,False,Satisfactory,27.1,21.0,21.0,19.1
Kolkata,40.88698552001761,92.01753590353788,51.2914810562563,12.974567560169524,0.2467606006925322,53.96769057941162,58,2020-03-08,False,Satisfactory,29.6,18.7,17.3,1.4
Kolkata,114.08942188202504,160.08233332873755,47.73635151059818,14.662919644421208,0.1936313174329103,68.75525044462745,116,2020-03-09,False,Moderate,28.4,15.9,13.0,0.0
Kolkata,57.61444816905267,93.12475551243452,29.57597891367437,18.152311012717867,1.242107432583067,57.08582298585555,65,2020-03-10,False,Satisfactory,28.7,13.9,10.1,0.0
Kolkata,60.75720811227457,168.93960088420914,39.73109165558983,8.737103337922512,1.1074011437424185,48.183386091959626,89,2020-03-11,False,Satisfactory,29.0,17.9,8.9,0.6
Kolkata,163.62018078222405,196.69342085803788,37.2882324575445,19.664040009455757,0.9464405239980016,45.5552535458661,149,2020-03-12,False,Moderate,31.0,18.6,9.4,0.0
Kolkata,43.0971853770418,70.37801426326713,20.57901285047364,16.858976440463454,1.0356866797679636,57.81608223987308,50,2020-03-13,False,Good,32.0,19.2,15.1,0.0
Kolkata,35.79902419315303,79.97777488651509,44.89193027890554,18.30345540730918,0.9083045190353212,51.97864656883314,51,2020-03-14,False,Satisfactory,29.9,19.4,19.6,0.1
Kolkata,42.86890620919396,110.9024430383451,35.82499240921449,4.9512794778837605,0.534635835320378,60.25318750727208,64,2020-03-15,False,Satisfactory,27.0,18.0,11.2,6.7
Kolkata,108.64207554107595,105.02115338365812,38.62696345739886,5.537148345220658,0.9187324443721848,58.82720470096764,95,2020-03-16,False,Satisfactory,28.9,19.5,12.2,0.9
Kolkata,37.04008619015212,87.2377119973437,52.54147298800427,17.118236062650453,0.5463913386859336,66.18450043468158,56,2020-03-17,False,Satisfactory,29.6,18.4,10.9,0.0
Kolkata,90.3169381751233,130.44741120080755,38.64165338246309,16.001077956220318,1.0349289941779152,63.612975020047735,94,2020-03-18,False,Satisfactory,29.8,17.8,12.7,0.0
Kolkata,53.099101429045845,107.58368416222405,36.40259902426013,13.060119521158542,0.6479097578237194,73.8111684012359,69,2020-03-19,False,Satisfactory,31.0,16.7,9.2,0.0
Kolkata,79.27611630043891,126.49545789107778,46.66299913863613,17.545140261753023,0.8135533950542667,45.31527520800852,86,2020-03-20,False,Satisfactory,31.1,19.4,14.4,0.0
Kolkata,115.60671342845636,200.43863037281227,61.312416187999176,7.08004048571948,1.0318722236960611,48.94838915492678,128,2020-03-21,False,Moderate,32.0,17.3,22.1,0.3
Kolkata,130.95026045598465,217.61758926899185,5.0,12.067679132760386,0.6630264127165679,39.33803823832363,135,2020-03-22,False,Moderate,30.0,18.1,15.5,1.3
Kolkata,43.07746223367198,84.1398804205209,35.65844305663665,10.246460913379163,0.1933912542899414,51.92066444486938,55,2020-03-23,False,Satisfactory,30.7,18.0,11.3,0.0
Kolkata,122.21344073260344,161.0567733123799,15.373360393700398,12.4765778084564,1.1182105633087511,52.354859363825895,116,2020-03-24,False,Moderate,32.3,18.1,10.7,0.0
Kolkata,50.91637890744776,79.93176500541372,50.59002779680081,10.840173282912346,0.6442659975901635,40.89163063992487,58,2020-03-25,False,Satisfactory,33.2,19.6,14.8,0.0
Kolkata,88.79829986685664,141.13711583411165,40.81464051602199,7.175768902760775,0.4923947070373123,40.23963875558502,94,2020-03-26,False,Satisfactory,35.0,20.3,13.6,0.0
Kolkata,91.60448804479886,152.59483042095735,61.999025012167465,7.816587179108953,1.0176662171233628,24.203526433067253,100,2020-03-27,False,Satisfactory,36.2,20.9,13.1,0.0
Kolkata,94.0068053555531,113.75862054062556,21.61849113251387,15.764917177919823,0.845863244234653,45.24496116847158,87,2020-03-28,False,Satisfactory,36.2,23.0,18.7,0.0
Kolkata,24.24007590335598,81.62223965119813,41.29835149655122,15.617073828387706,0.2790106983564326,59.30175759341119,46,2020-03-29,False,Good,35.2,22.9,17.3,0.0
Kolkata,58.311145908802864,114.1334514322651,39.05926522060417,7.743704842390962,0.676429259415033,36.84412249149175,70,2020-03-30,False,Satisfactory,35.8,22.2,19.4,0.0
Kolkata,58.99066168247809,90.80895476307938,46.0235923801489,7.70061219751106,0.967331014139328,98.986374360076,71,2020-03-31,False,Satisfactory,35.0,19.6,13.6,0.0
Kolkata,69.72390124973215,88.08336074715756,71.56051716048118,13.745009395760723,0.7609527625483493,44.38273615731055,72,2020-04-01,False,Satisfactory,35.8,19.8,21.4,0.0
Kolkata,37.95302450306188,81.181709794004,28.30150454988637,8.146603909479602,0.9757667030379716,64.56921791331852,52,2020-04-02,False,Satisfactory,37.2,21.6,15.9,0.0
Kolkata,70.96999421391048,131.01027388590202,71.4339236709479,7.79669168791318,0.3098503504543725,62.49187418627453,88,2020-04-03,False,Satisfactory,36.0,22.1,16.0,0.0
Kolkata,50.64896286718273,90.1012363476055,41.84563440179831,18.19566299432934,0.8393095016045011,18.20747532687049,58,2020-04-04,False,Satisfactory,35.8,20.5,12.6,0.0
Kolkata,94.32934382434316,148.96037671177987,27.09649345044112,3.4886765746199178,0.6853310347105422,15.453827358687327,96,2020-04-05,False,Satisfactory,36.5,22.0,15.0,0.0
Kolkata,8.530170823301788,31.510232985514907,21.210866368387567,16.395831015433316,0.7547563532866242,55.228177691764216,21,2020-04-06,False,Good,37.0,19.4,19.0,0.0
Kolkata,88.32373149309744,107.5501589263164,31.54502499313017,10.85885416971757,0.7601046947604301,57.18526746286193,85,2020-04-07,False,Satisfactory,38.2,20.6,14.9,0.0
Kolkata,117.00306031154491,174.39949664611188,66.42497959954693,14.19259847937768,0.6396667383611708,69.26116183805672,124,2020-04-08,False,Moderate,37.7,22.1,18.9,0.0
Kolkata,31.217429747961788,91.89966630451651,37.74783654334094,7.709167522530757,0.8627867975964846,45.71779882858049,51,2020-04-09,False,Satisfactory,37.3,22.3,12.6,0.0
Kolkata,6.170138532218999,59.85411179154526,24.517192168983435,12.612418365941044,0.7618530310199393,56.45791723104232,29,2020-04-10,False,Good,38.0,23.8,11.9,0.0
Kolkata,5.0,35.18202316924598,41.61168111808015,26.41498727802069,0.8416468674436246,43.39949478775712,21,2020-04-11,False,Good,38.3,23.9,18.3,0.0
Kolkata,114.92514295040716,153.14368896523845,46.48894041094145,12.259978184879476,1.1215993154716697,59.92433618556207,114,2020-04-12,False,Moderate,35.2,22.8,16.2,0.6
Kolkata,60.83335894271839,80.79213068926416,23.961991467313275,13.482002237868286,0.7844645342745994,50.40924662024157,62,2020-04-13,False,Satisfactory,36.2,24.0,14.2,0.2
Kolkata,90.16629373872962,123.78925053133992,38.43307339538816,11.94999822674884,0.3686858284718091,40.82401206571741,90,2020-04-14,False,Satisfactory,38.3,25.0,15.1,0.0
Kolkata,95.65710074505417,159.63659420144984,27.883307036988185,14.497143304872344,0.6156658407473772,36.81372027365848,102,2020-04-15,False,Moderate,34.4,25.2,28.6,7.2
Kolkata,156.40721371097516,198.1058855566184,17.87728873290701,9.809824458929192,0.7201231647834843,63.6908507206569,145,2020-04-16,False,Moderate,35.7,23.5,14.4,0.2
Kolkata,65.64038866788424,123.20834185438927,55.94192195696903,9.0827765370852,0.8872742963064756,49.05561365443941,80,2020-04-17,False,Satisfactory,38.0,24.5,24.2,0.0
Kolkata,89.00986580409052,141.02839668473962,42.19210631133716,10.572293825955352,0.8075490996820034,45.90792990900985,95,2020-04-18,False,Satisfactory,35.9,25.0,16.9,0.6
Kolkata,173.248424131053,235.3516993104376,40.03438837819888,10.310435354048256,1.0936083176188292,37.77016702767669,165,2020-04-19,False,Moderate,37.2,24.0,17.0,0.0
Kolkata,28.664572183097064,51.495196546754926,59.46237901391661,18.227754179684872,0.8479484309058106,41.59602409338049,39,2020-04-20,False,Good,36.3,22.6,18.9,0.3
Kolkata,58.02008327373802,148.8613904001732,38.63798131073557,13.715224412049366,0.6680071865513688,51.356257667166055,82,2020-04-21,False,Satisfactory,33.2,23.0,21.7,16.8
Kolkata,95.11431896751398,181.23945554456327,38.69584316884811,14.583338737599073,0.6928081852077453,52.79292367929782,111,2020-04-22,False,Moderate,28.8,21.9,15.5,8.2
Kolkata,93.67520593010128,139.58493969467906,43.553448920893295,8.45378306543916,0.9508151562547114,50.83440313775086,98,2020-04-23,False,Satisfactory,29.9,21.9,24.0,20.6
Kolkata,57.90409247895653,105.55582948552714,59.61214113541185,11.477281387256715,0.9282830453597896,56.3701228609131,72,2020-04-24,False,Satisfactory,30.1,22.1,18.7,24.6
Kolkata,103.19181512368144,131.09948266652864,24.472096357251655,8.258476834336086,0.9820659844831988,53.92931492480373,98,2020-04-25,False,Satisfactory,29.5,22.7,10.2,4.1
Kolkata,88.46923897183025,136.0512845848245,20.129107893041304,8.998103393464572,0.8633500906483542,47.44297132307749,91,2020-04-26,False,Satisfactory,27.6,21.9,17.7,27.7
Kolkata,87.14673263121472,106.00308572897738,39.801925193334014,2.0,0.408812697343401,35.430183547613645,82,2020-04-27,False,Satisfactory,29.2,21.9,11.2,9.1
Kolkata,6.291856371372532,40.26042177919949,44.15339869760973,17.830782357967188,0.639354763944803,40.14933211962296,23,2020-04-28,False,Good,28.4,21.6,17.4,11.1
Kolkata,75.18903294882661,119.827780988773,24.8058298386471,14.708043667573357,0.7117101755713271,40.11469400538834,80,2020-04-29,False,Satisfactory,29.4,21.5,11.1,3.7
Kolkata,57.248236143649805,154.27401847440956,51.62127200761877,10.302516721262675,0.1,24.439094255373774,82,2020-04-30,False,Satisfactory,29.9,22.0,8.6,4.8
Kolkata,83.45963168602387,127.64557185074158,22.718440552428937,11.34015352615402,0.5765903791212504,40.38236627926039,86,2020-05-01,False,Satisfactory,29.1,23.3,10.1,4.6
Kolkata,73.06723110247808,102.74485085408426,19.214837612163947,5.228332321333233,0.6784848627730562,26.25338805867404,71,2020-05-02,False,Satisfactory,29.1,22.0,9.2,4.8
Kolkata,167.60858898839342,236.2783521591313,50.796982959125394,7.574390835819335,0.5455217317834518,28.757540204625503,162,2020-05-03,False,Moderate,30.6,22.0,9.1,0.3
Kolkata,153.53582274209236,230.40363254126288,50.08481799511655,11.394730272867031,0.6835348739476593,57.588720783632056,156,2020-05-04,False,Moderate,32.3,23.1,12.7,0.7
Kolkata,143.90941884214232,206.76594447770168,23.306500009569294,8.168140724753705,0.9403934993308324,37.0448961609882,140,2020-05-05,False,Moderate,31.9,24.7,9.5,3.5
Kolkata,61.16216630389544,141.3712219111722,35.28806556429971,4.121980081524039,1.6657247209364254,66.31501371911096,83,2020-05-06,False,Satisfactory,32.0,22.9,15.8,4.0
Kolkata,77.453805977677,127.3085236322364,8.101713788641568,10.035200562891626,0.5767568182637044,51.46614634824276,82,2020-05-07,False,Satisfactory,31.8,23.6,15.0,16.8
Kolkata,145.1072572858356,203.9095214766131,70.45457383310314,5.019127437641696,0.337339340018151,68.63071884087884,147,2020-05-08,False,Moderate,33.8,22.4,11.5,0.0
Kolkata,84.1614577106807,143.50761252740588,39.59638173880765,12.975847633661044,1.006375323196758,53.79180700204984,94,2020-05-09,False,Satisfactory,33.8,23.9,11.9,0.3
Kolkata,57.14697592700499,153.7509576723363,41.41504990614657,11.002658166533037,0.6963544413956807,55.11325035659772,84,2020-05-10,False,Satisfactory,34.9,24.0,24.5,24.6
Kolkata,70.2972073644697,79.71453302131782,36.18789349848638,6.583952239391627,0.8802492569756705,49.5489711610771,67,2020-05-11,False,Satisfactory,33.0,23.8,7.6,0.0
Kolkata,53.44798621994551,122.26897264672152,38.941286711489525,10.115481882412588,0.6913681944446831,44.23299380605773,71,2020-05-12,False,Satisfactory,35.5,24.2,19.8,1.4
Kolkata,100.27426567240656,134.68588218830538,41.05442933943296,9.479783940231806,0.6070849738227195,57.089110454170935,100,2020-05-13,False,Satisfactory,34.5,26.0,9.0,5.7
Kolkata,42.597754339164,103.01372172522774,44.64500022405466,18.636608208197224,0.2723119463090242,65.28563019236493,63,2020-05-14,False,Satisfactory,36.0,25.5,21.3,0.0
Kolkata,67.8988822111678,82.14588763595037,30.11475081317961,14.559490606836397,0.774223459412316,70.2169721835134,68,2020-05-15,False,Satisfactory,35.7,25.8,12.9,0.0
Kolkata,66.46647293386873,115.79755348636536,37.22633526538259,6.892462850197473,0.7913861427498504,46.71218896817416,76,2020-05-16,False,Satisfactory,38.1,26.4,14.1,0.0
Kolkata,83.50422459394929,134.69069085695938,40.02547719704667,12.482335196201884,1.1298591713129025,35.33428300825028,89,2020-05-17,False,Satisfactory,37.8,26.3,13.1,0.0
Kolkata,51.04495461182789,129.3815890252892,59.05996982865648,13.294974123548284,1.4072432983982202,57.33168459156329,75,2020-05-18,False,Satisfactory,36.2,25.8,15.3,0.0
Kolkata,154.95606542498902,234.15094343121285,64.41305599782298,6.257380223391848,1.000467144163142,48.751195394968335,159,2020-05-19,False,Moderate,31.0,26.1,10.8,0.6
Kolkata,26.470628542706194,103.192863321738,57.914983141291536,11.273645031959743,0.6146811379768792,50.870366529465215,55,2020-05-20,False,Satisfactory,25.9,22.3,41.4,63.6
Kolkata,7.420058539259912,30.475933399397864,35.50692459953285,15.07784289965715,0.7443888696134684,41.66272436042461,20,2020-05-21,False,Good,28.4,22.7,41.3,3.2
Kolkata,46.88607339809381,145.65704926631523,23.89143753624635,2.860635001606658,0.6272947377016195,57.767804851783865,75,2020-05-22,False,Satisfactory,33.8,22.8,12.1,0.0
Kolkata,84.32636155542112,119.30723276505194,42.88470374614773,17.545155631424308,0.8612174535187994,52.30801239827864,87,2020-05-23,False,Satisfactory,34.2,26.2,16.1,0.0
Kolkata,86.28787369602445,121.37157609717626,46.74140458772346,17.20935684666184,1.2056691149026977,56.44525113645466,89,2020-05-24,False,Satisfactory,35.5,26.2,17.6,0.0
Kolkata,80.58776780198292,168.12239345052325,41.80502469647334,9.579401006322756,0.5932713152920388,37.94395623348843,98,2020-05-25,False,Satisfactory,37.2,27.0,21.7,0.0
Kolkata,59.86842088249785,148.39846178974307,28.64950973991437,19.63381411087055,0.7383902221284169,65.62939839266963,83,2020-05-26,False,Satisfactory,36.4,26.9,24.8,0.0
Kolkata,36.85493607571126,86.49840902719502,15.758548427097589,12.110712662684524,1.036038413910324,64.50015171202412,52,2020-05-27,False,Satisfactory,36.8,26.0,25.4,0.0
Kolkata,79.81677653670955,122.64881619607982,41.30758837389157,9.139975285698108,0.6279794294218545,43.87735953568803,85,2020-05-28,False,Satisfactory,33.0,26.0,21.1,9.3
Kolkata,89.11502535057195,167.838520053501,59.48443693128479,10.406703009112466,0.5554020605330388,39.00925759364937,104,2020-05-29,False,Moderate,31.5,25.8,12.7,4.5
Kolkata,20.838705090066437,85.39808171795158,19.097107818932606,2.0,1.018682619338404,60.28216482090172,43,2020-05-30,False,Good,32.8,25.5,12.1,5.0
Kolkata,36.76338832117429,92.81529909585451,20.22150724407312,11.51312685676726,0.9076689821027856,60.40387544722625,54,2020-05-31,False,Satisfactory,31.8,24.8,12.0,18.9
Kolkata,95.8474940909136,107.96338864151592,44.53317263192561,22.904400604253752,0.9178253231608487,29.222838784979363,87,2020-06-01,False,Satisfactory,33.1,25.6,13.3,12.5
Kolkata,51.59443959047451,91.36228018968032,5.025776656062035,12.503119643514395,0.694877942283142,45.44650571585173,58,2020-06-02,False,Satisfactory,34.2,26.2,12.3,0.1
Kolkata,75.0192048812856,110.5774635753604,52.82533926319952,12.919779778299512,0.6398654987366907,56.67465988559705,81,2020-06-03,False,Satisfactory,33.8,26.4,11.4,0.1
Kolkata,94.219638283623,125.11984101269849,37.405761377601095,11.127901435836238,0.6244303825909495,29.64907717093549,91,2020-06-04,False,Satisfactory,33.2,26.1,13.7,22.4
Kolkata,55.34952179136124,130.67632837718688,30.264761421533564,16.49492546948932,0.7894085723829113,52.51505805689683,75,2020-06-05,False,Satisfactory,33.0,25.7,17.0,4.0
Kolkata,31.032370487321003,104.31133193630993,70.90239280507328,8.509055146722249,1.1910551736948791,30.961350688107974,56,2020-06-06,False,Satisfactory,33.2,26.2,11.3,0.1
